Title,ISBN
Grant's lieutenants : from Chattanooga to Appomattox /,070061589X;9780700615896
Reminiscences of the Civil War /,
Ploughshares into swords : Josiah Gorgas and Confederate Ordnance /,
"Lincoln's gadfly, Adam Gurowski /",
Halleck : Lincoln's chief of staff /,
Lincoln's Herndon /,
On the trail of Grant and Lee /,
The gallant Hood /,
"Autobiography of Oliver Otis Howard, Major General, United States army /",
Yankee stepfather : General O.O. Howard and the freedmen /,
"Early life and letters of General Thomas J. Jackson, ""Stonewall"" Jackson /",
Stonewall Jackson /,
Stonewall Jackson and the old Stonewall brigade /,
Life of Lieut.-Gen. Thomas J. Jackson (Stonewall Jackson) /,
Life of Lieut.-Gen. Thomas J. Jackson (Stonewall Jackson) /,
Stonewall Jackson and the American Civil War /,
Stonewall Jackson as military commander /,
"Stonewall Jackson, the good soldier : a narrative /",
The life of General Albert Sidney Johnston /,
Lee the American /,
Lee /,
Lee /,
R.E. Lee : a biography /,
R.E. Lee : a biography /,
"Lee's dispatches : unpublished letters of General Robert E. Lee, C.S.A., to Jefferson Davis and the War Department of the Confederate States of America, 1862-65, from the private collection of Wymberley Jones de Renne /",
The wartime papers of R.E. Lee /,
Robert E. Lee : the soldier /,
Robert E. Lee in Texas /,
Robert E. Lee /,
Robert E. Lee /,
"Robert E. Lee and the Southern Confederacy, 1807-1870 /",
"General George B. McClellan, shield of the Union /",
The gentleman and the tiger : the autobiography of George B. McClellan /,
Meade of Gettysburg /,
Quartermaster General of the Union army : a biography of M.C. Meigs /,
To battle for God and the right : the Civil War letterbooks of Emerson Opdycke /,0252075145;9780252075148
Reluctant general : the life and times of Albert Pike /,
The celebrated case of Fitz John Porter : an American Dreyfus affair /,
"Memories of my youth, 1844-1865 /",
Sherman : fighting prophet /,
"Sherman : soldier, realist, American /",
General Jo Shelby : undefeated rebel /,
Home letters of General Sherman /,
Memoirs of General William T. Sherman by himself /,
The Sherman letters : correspondence between General Sherman and Senator Sherman from 1837 to 1891 /,
Sickles the incredible /,
"General Edmund Kirby Smith, C.S.A. /",
Diary of the Civil War 1860-1865 /,
Jeb Stuart /,
Rock of Chickamauga : the life of General George H. Thomas /,
"Surviving the Confederacy : rebellion, ruin, and recovery : Roger and Sara Pryor during the Civil War /",0151003890;9780151003891
"""Ben-Hur"" Wallace : the life of General Lew Wallace /",
Lew Wallace : an autobiography /,
"Diary of Gideon Welles, Secretary of the Navy under Lincoln and Johnson /",
Gentle tiger : the gallant life of Roberdeau Wheat /,
"""Fightin' Joe"" Wheeler /",
Confederate women /,9780837175348;0837175348
"McClellan, Sherman and Grant /",
The papers of Jefferson Davis /,
The papers of Jefferson Davis /,9780807107867;0807107867
The papers of Jefferson Davis /,9780807109434;0807109436
The papers of Jefferson Davis /,9780807110379;080711037X
The papers of Jefferson Davis /,9780807112403;0807112402
The papers of Jefferson Davis /,9780807115022;0807115029
The papers of Jefferson Davis /,9780807117262;0807117269
The papers of Jefferson Davis /,9780807119389;0807119385
The papers of Jefferson Davis /,9780807120873;0807120871
The papers of Jefferson Davis /,9780807124123;0807124125
The papers of Jefferson Davis.,0807139068;9780807139066
The papers of Jefferson Davis.,0807159093;9780807159095
The papers of Jefferson Davis.,9780807129098;0807129097
The papers of Jefferson Davis.,9780807133415;0807133418
Diary /,
Diary /,
Diary /,
Diary /,9780674204027;0674204026
Diary /,9780674204034;0674204034
When the devil came down to Dixie : Ben Butler in New Orleans /,9780807121801;0807121800;9780807126233;0807126233
Ben Butler : the South called him BEAST! /,
"Jefferson Davis, American /",9780375725425;0375725423
Jefferson Davis /,9780029087008;0029087007
Embattled rebel : Jefferson Davis and the confederate civil war.,9780143127758;0143127756
Davis and Lee at war /,9780700607181;0700607188
First lady of the confederacy : Varina Davis's civil war /,0674030370;9780674030374
Elmer E. Ellsworth and the Zouaves of '61 /,
Wade Hampton : Confederate warrior to Southern Redeemer /,080783193X;9780807831939;1469606801;9781469606804
John Bell Hood and the fight for Civil War memory /,1572337028;9781572337022
Inventing Stonewall Jackson : a Civil War hero in history and memory /,0807137812;9780807137819
The marble man : Robert E. Lee and his image in American society /,9780807104743;0807104744
A life of General Robert E. Lee /,1411672542;9781411672543
The making of Robert E. Lee /,9780801874116;0801874114
Lee & his army in Confederate history /,9780807826317;0807826316;9780807857694;0807857696
Lee and his generals in war and memory /,0807129585;9780807129586
Growing up in the 1850s : the journal of Agnes Lee /,9780807816226;0807816221
Lee considered : General Robert E. Lee and Civil War history /,0807845876;9780807845875
Lee moves north : Robert E. Lee on the offensive /,9780471164012;0471164011
Robert E. Lee : a biography /,9780393037302;0393037304;9780393316315;0393316319
"Lincoln's Lee : the life of Samuel Phillips Lee, United States Navy, 1812-1897 /",9780700602964;0700602968
"The Civil War papers of George B. McClellan : selected correspondence, 1860-1865 /",0306804719;9780306804717
McClellan's war : the failure of moderation in the struggle for the Union /,9780253345325;0253345324;9780253006110;0253006112
George Wythe Randolph and the Confederate elite /,9780820309989;0820309982
Citizen Sherman : a life of William Tecumseh Sherman /,9780700608409;0700608400
Demon of the lost cause : Sherman and Civil War history /,0826219454;9780826219459
"Recollections of Alexander H. Stephens : his diary kept when a prisoner at Fort Warren, Boston Harbor, 1865 : giving incidents and reflections of his prison life and some letters and reminiscences /",054896873x
"Memoirs of Henry Villard, journalist and financier, 1835-1900 /",
Gideon Welles : Lincoln's Secretary of the Navy /,
The American Civil War : explorations and reconsiderations /,0582318351;9780582318359;9780582318380;0582318386
"In the presence of mine enemies : war in the heart of America, 1859-1863 /",9780393326017;0393326012;9780393057867;0393057860
The Civil War in America /,
La guerre de secession (1861-1865) : ses causes et ses suites /,
"Cassell's biographical dictionary of the American Civil War, 1861-1865 /",
"Civil War America : making a nation, 1848-1877 /",058238107x
America goes to war /,
The centennial history of the civil war /,
The centennial history of the civil war /,
The centennial history of the civil war /,
The American Civil War /,
The blue and the gray : the story of the Civil War as told by participants /,9780451621665;0451621662
The blue and the gray : the story of the Civil War as told by participants /,9780451622785;0451622782
An historia and the Civil War /,
Divided we fought : a pictorial history of the war 1861-1865 /,
The Civil War and reconstruction /,9780393974270;0393974278
Why the North won the Civil War /,
"Encyclopedia of the American Civil War : a political, social, and military history /",9780393047585;039304758X
The American Iliad : the epic story of the Civil War as narrated by eyewitnesses and contemporaries /,
This terrible war : the Civil War and its aftermath /,0321389603;9780321389602
History of the American War /,
History of the American war /,
The Civil War : a narrative /,9780712698023;0712698027
The Civil War : a narrative /,9780712698078;0712698078
The Civil War : a narrative /,9780712698122;0712698124
The Union War /,0674045629;9780674045620;0674066081;9780674066083
The war for a nation : the American Civil War /,9780415979894;0415979897;9780415979900;0415979900
Gardner's photographic sketch book of the Civil War /,
The Civil War /,
When it was grand : the radical Republican history of the Civil War /,9780809080311;0809080311
The United States during the Civil War /,
Desertion during the Civil War /,
Battle cry of freedom : the Civil War era /,1603760644;9781603760645
Battle cry of freedom : the Civil War era /,9780140125184;0140125183
Battle cry of freedom : the Civil War era /,9780195038637;0195038630
Major problems in the Civil War and reconstruction : documents and essays /,0495908959;9780495908951
Major problems in the Civil War and reconstruction : documents and essays /,9780395868492;0395868491
The Civil War : a concise history /,0199740488;9780199740482
"The American Civil War, 1861-1865 /",0582319730;9780582319738
Drawn with the sword : reflections on the American Civil War /,9780195096798;0195096797
Ordeal by fire : the Civil War and Reconstruction /,9780072317367;0072317361
"Grant, Lee, Lincoln and the radicals : essays on Civil War leadership /",
